Department Name,Municipality Name,altitude_MIN,altitude_MAX,altitude_MEAN
ANTIOQUIA,MEDELLÍN,1452,2613,"1658,447804"
ANTIOQUIA,ABEJORRAL,2149,2243,"2186,887497"
ANTIOQUIA,ABRIAQUÍ,1910,2008,"1943,447703"
ANTIOQUIA,ALEJANDRÍA,1630,1700,"1660,364122"
ANTIOQUIA,AMAGÁ,1301,1573,"1411,112236"
ANTIOQUIA,AMALFI,1554,1629,"1569,751632"
ANTIOQUIA,ANDES,1233,1475,"1328,849714"
ANTIOQUIA,ANGELÓPOLIS,1808,1967,"1888,737052"
ANTIOQUIA,ANGOSTURA,1653,1820,"1725,939153"
ANTIOQUIA,ANORÍ,1517,1654,"1583,146872"
ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,534,681,"591,12106"
ANTIOQUIA,ANZÁ,613,746,"671,334705"
ANTIOQUIA,APARTADÓ,31,62,"42,205034"
ANTIOQUIA,ARBOLETES,3,20,"12,434696"
ANTIOQUIA,ARGELIA,1704,1863,"1767,226703"
ANTIOQUIA,ARMENIA,1692,1852,"1793,094166"
ANTIOQUIA,BARBOSA,1286,1508,"1323,301931"
ANTIOQUIA,BELMIRA,2519,2589,"2541,872167"
ANTIOQUIA,BELLO,1399,2101,"1527,745437"
ANTIOQUIA,BETANIA,1487,1715,"1593,562628"
ANTIOQUIA,BETULIA,1537,1818,"1663,181748"
ANTIOQUIA,CIUDAD BOLÍVAR,1121,1378,"1222,646094"
ANTIOQUIA,BRICEÑO,1162,1443,"1270,947658"
ANTIOQUIA,BURITICÁ,1574,1770,"1650,96477"
ANTIOQUIA,CÁCERES,82,131,"98,630319"
ANTIOQUIA,CAICEDO,1781,1886,"1824,526761"
ANTIOQUIA,CALDAS,1736,1919,"1800,807208"
ANTIOQUIA,CAMPAMENTO,1619,1826,"1721,906996"
ANTIOQUIA,CAÑASGORDAS,1206,1404,"1290,276129"
ANTIOQUIA,CARACOLÍ,612,700,"634,671734"
ANTIOQUIA,CARAMANTA,2066,2184,"2130,127046"
ANTIOQUIA,CAREPA,39,75,"49,30989"
ANTIOQUIA,EL CARMEN DE VIBORAL,2137,2230,"2176,610469"
ANTIOQUIA,CAROLINA,1790,1856,"1814,538041"
ANTIOQUIA,CAUCASIA,39,113,"60,363247"
ANTIOQUIA,CHIGORODÓ,38,54,"46,542621"
ANTIOQUIA,CISNEROS,1022,1228,"1080,054219"
ANTIOQUIA,COCORNÁ,1228,1430,"1321,761724"
ANTIOQUIA,CONCEPCIÓN,1835,1946,"1867,943982"
ANTIOQUIA,CONCORDIA,1848,2136,"1990,886745"
ANTIOQUIA,COPACABANA,1414,1679,"1486,34105"
ANTIOQUIA,DABEIBA,402,670,"466,046281"
ANTIOQUIA,DONMATÍAS,2152,2237,"2191,259505"
ANTIOQUIA,EBÉJICO,1145,1237,"1192,457581"
ANTIOQUIA,EL BAGRE,40,126,"69,276261"
ANTIOQUIA,ENTRERRÍOS,2296,2375,"2320,517969"
ANTIOQUIA,ENVIGADO,1533,1873,"1637,436157"
ANTIOQUIA,FREDONIA,1683,2058,"1845,702208"
ANTIOQUIA,FRONTINO,1215,1495,"1366,69299"
ANTIOQUIA,GIRALDO,1779,2154,"2002,746655"
ANTIOQUIA,GIRARDOTA,1332,1645,"1413,824118"
ANTIOQUIA,GÓMEZ PLATA,1814,1889,"1837,095487"
ANTIOQUIA,GRANADA,2012,2203,"2099,672374"
ANTIOQUIA,GUADALUPE,1801,1980,"1885,653054"
ANTIOQUIA,GUARNE,2142,2235,"2169,688974"
ANTIOQUIA,GUATAPÉ,1898,1963,"1914,439545"
ANTIOQUIA,HELICONIA,1372,1577,"1455,270927"
ANTIOQUIA,HISPANIA,907,1067,"986,385534"
ANTIOQUIA,ITAGÜÍ,1516,1828,"1614,036751"
ANTIOQUIA,ITUANGO,1416,1807,"1595,161385"
ANTIOQUIA,JARDÍN,1671,1881,"1784,604434"
ANTIOQUIA,JERICÓ,1911,2125,"2002,971532"
ANTIOQUIA,LA CEJA,2135,2234,"2167,869229"
ANTIOQUIA,LA ESTRELLA,1615,1890,"1750,464"
ANTIOQUIA,LA PINTADA,594,719,"617,318275"
ANTIOQUIA,LA UNIÓN,2479,2535,"2497,544625"
ANTIOQUIA,LIBORINA,668,826,"727,059864"
ANTIOQUIA,MACEO,910,1084,"957,148307"
ANTIOQUIA,MARINILLA,2091,2188,"2124,789163"
ANTIOQUIA,MONTEBELLO,2258,2493,"2370,642937"
ANTIOQUIA,MURINDÓ,20,30,"24,149099"
ANTIOQUIA,MUTATÁ,134,184,"147,306727"
ANTIOQUIA,NARIÑO,1555,1805,"1702,11198"
ANTIOQUIA,NECOCLÍ,6,66,"17,284126"
ANTIOQUIA,NECHÍ,26,42,"33,936452"
ANTIOQUIA,OLAYA,467,521,"498,066465"
ANTIOQUIA,PEÑOL,1930,2051,"1983,672767"
ANTIOQUIA,PEQUE,1106,1377,"1206,883929"
ANTIOQUIA,PUEBLORRICO,1708,1890,"1829,324307"
ANTIOQUIA,PUERTO BERRÍO,101,162,"122,511052"
ANTIOQUIA,PUERTO NARE,134,171,"142,290408"
ANTIOQUIA,PUERTO TRIUNFO,161,181,"168,822707"
ANTIOQUIA,REMEDIOS,599,758,"706,656297"
ANTIOQUIA,RETIRO,2157,2360,"2192,126034"
ANTIOQUIA,RIONEGRO,2089,2180,"2126,631675"
ANTIOQUIA,SABANALARGA,723,980,"854,289179"
ANTIOQUIA,SABANETA,1575,1778,"1630,077713"
ANTIOQUIA,SALGAR,1220,1461,"1316,126403"
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,1290,1666,"1465,419566"
ANTIOQUIA,SAN CARLOS,971,1057,"995,423829"
ANTIOQUIA,SAN FRANCISCO,1220,1361,"1282,470461"
ANTIOQUIA,SAN JERÓNIMO,671,898,"766,976621"
ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,2544,2684,"2604,794509"
ANTIOQUIA,SAN JUAN DE URABÁ,3,39,"21,636104"
ANTIOQUIA,SAN LUIS,1011,1163,"1084,253806"
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,2465,2540,"2497,315954"
ANTIOQUIA,SAN PEDRO DE URABÁ,131,168,"143,88674"
ANTIOQUIA,SAN RAFAEL,997,1100,"1021,092719"
ANTIOQUIA,SAN ROQUE,1432,1494,"1450,900571"
ANTIOQUIA,SAN VICENTE,2145,2220,"2175,049908"
ANTIOQUIA,SANTA BÁRBARA,1679,1914,"1798,104197"
