Department Name,Municipality Name,Rainfall,Area (km²)
AMAZONAS,LETICIA,2750,"12,187549"
AMAZONAS,PUERTO NARIÑO,2750,"0,670944"
ANTIOQUIA,MEDELLÍN,1750,"82,672327"
ANTIOQUIA,MEDELLÍN,2250,"40,049517"
ANTIOQUIA,MEDELLÍN,2750,"0,434433"
ANTIOQUIA,ABEJORRAL,2250,"1,258996"
ANTIOQUIA,ABRIAQUÍ,2250,"0,159799"
ANTIOQUIA,ALEJANDRÍA,3500,"0,409682"
ANTIOQUIA,AMAGÁ,2250,"0,003817"
ANTIOQUIA,AMAGÁ,2750,"1,56986"
ANTIOQUIA,AMALFI,2750,"1,674508"
ANTIOQUIA,ANDES,2250,"2,100067"
ANTIOQUIA,ANGELÓPOLIS,2250,"0,62288"
ANTIOQUIA,ANGELÓPOLIS,2750,"0,16221"
ANTIOQUIA,ANGOSTURA,2750,"0,492124"
ANTIOQUIA,ANORÍ,3500,"1,326585"
ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,1750,"3,650567"
ANTIOQUIA,ANZÁ,1750,"0,228269"
ANTIOQUIA,APARTADÓ,2750,"6,066039"
ANTIOQUIA,ARBOLETES,1750,"1,466003"
ANTIOQUIA,ARGELIA,4500,"0,572416"
ANTIOQUIA,ARMENIA,2250,"0,30544"
ANTIOQUIA,BARBOSA,2250,"0,401911"
ANTIOQUIA,BARBOSA,2750,"2,437797"
ANTIOQUIA,BELMIRA,2250,"0,515874"
ANTIOQUIA,BELLO,1750,"22,493321"
ANTIOQUIA,BETANIA,2750,"0,381003"
ANTIOQUIA,BETULIA,2250,"0,026185"
ANTIOQUIA,BETULIA,2750,"0,582374"
ANTIOQUIA,CIUDAD BOLÍVAR,2750,"1,495467"
ANTIOQUIA,BRICEÑO,4500,"0,509977"
ANTIOQUIA,BURITICÁ,1750,"0,173481"
ANTIOQUIA,CÁCERES,3500,"1,796147"
ANTIOQUIA,CAICEDO,2250,"0,167102"
ANTIOQUIA,CALDAS,2250,"0,936321"
ANTIOQUIA,CALDAS,2750,"3,119298"
ANTIOQUIA,CAMPAMENTO,3500,"0,576624"
ANTIOQUIA,CAÑASGORDAS,2250,"0,925424"
ANTIOQUIA,CARACOLÍ,2750,"0,327966"
ANTIOQUIA,CARAMANTA,2750,"0,362333"
ANTIOQUIA,CAREPA,2750,"2,664946"
ANTIOQUIA,EL CARMEN DE VIBORAL,2750,"3,124686"
ANTIOQUIA,CAROLINA,2750,"0,349609"
ANTIOQUIA,CAROLINA,3500,"1,22234"
ANTIOQUIA,CAUCASIA,2750,"17,408127"
