Department Name,Municipality Name,Temperature
ANTIOQUIA,MEDELLIN,18
ANTIOQUIA,ABEJORRAL,18
ANTIOQUIA,ABRIAQUI,18
ANTIOQUIA,ALEJANDRIA,18
ANTIOQUIA,AMAGA,18
ANTIOQUIA,AMALFI,21
ANTIOQUIA,ANDES,18
ANTIOQUIA,ANGELOPOLIS,18
ANTIOQUIA,ANGOSTURA,18
ANTIOQUIA,ANORI,18
ANTIOQUIA,SANTA FE DE ANTIOQUIA,18
ANTIOQUIA,ANZA,18
ANTIOQUIA,APARTADO,27
ANTIOQUIA,ARBOLETES,27
ANTIOQUIA,ARGELIA,18
ANTIOQUIA,ARMENIA,18
ANTIOQUIA,BARBOSA,18
ANTIOQUIA,BELMIRA,14
ANTIOQUIA,BELLO,18
ANTIOQUIA,BETANIA,18
ANTIOQUIA,BETULIA,18
ANTIOQUIA,CIUDAD BOLIVAR,18
ANTIOQUIA,BRICEÑO,18
ANTIOQUIA,BURITICA,18
ANTIOQUIA,CACERES,27
ANTIOQUIA,CAICEDO,18
ANTIOQUIA,CALDAS,18
ANTIOQUIA,CAMPAMENTO,18
ANTIOQUIA,CAÑASGORDAS,18
ANTIOQUIA,CARACOLI,25
ANTIOQUIA,CARAMANTA,18
ANTIOQUIA,CAREPA,27
ANTIOQUIA,EL CARMEN DE VIBORAL,18
ANTIOQUIA,CAROLINA,18
ANTIOQUIA,CAUCASIA,27
ANTIOQUIA,CHIGORODO,27
ANTIOQUIA,CISNEROS,23
ANTIOQUIA,COCORNA,20
ANTIOQUIA,CONCEPCION,18
ANTIOQUIA,CONCORDIA,18
ANTIOQUIA,COPACABANA,18
ANTIOQUIA,DABEIBA,25
ANTIOQUIA,DONMATIAS,18
ANTIOQUIA,EBEJICO,18
ANTIOQUIA,EL BAGRE,29
ANTIOQUIA,ENTRERRIOS,18
ANTIOQUIA,ENVIGADO,18
ANTIOQUIA,FREDONIA,18
ANTIOQUIA,FRONTINO,18
ANTIOQUIA,GIRALDO,18
ANTIOQUIA,GIRARDOTA,18
ANTIOQUIA,GOMEZ PLATA,18
ANTIOQUIA,GRANADA,18
ANTIOQUIA,GUADALUPE,18
ANTIOQUIA,GUARNE,18
ANTIOQUIA,GUATAPE,18
ANTIOQUIA,HELICONIA,18
ANTIOQUIA,HISPANIA,18
ANTIOQUIA,ITAGÜI,18
ANTIOQUIA,ITUANGO,14
ANTIOQUIA,JARDIN,18
ANTIOQUIA,JERICO,18
ANTIOQUIA,LA CEJA,18
ANTIOQUIA,LA ESTRELLA,18
ANTIOQUIA,LA PINTADA,18
ANTIOQUIA,LA UNION,14
ANTIOQUIA,LIBORINA,18
ANTIOQUIA,MACEO,23
ANTIOQUIA,MARINILLA,18
ANTIOQUIA,MONTEBELLO,18
ANTIOQUIA,MURINDO,27
ANTIOQUIA,MUTATA,27
ANTIOQUIA,NARIÑO,18
ANTIOQUIA,NECOCLI,28
ANTIOQUIA,NECHI,29
ANTIOQUIA,OLAYA,18
ANTIOQUIA,PEÑOL,18
ANTIOQUIA,PEQUE,18
ANTIOQUIA,PUEBLORRICO,18
ANTIOQUIA,PUERTO BERRIO,29
ANTIOQUIA,PUERTO NARE,29
ANTIOQUIA,PUERTO TRIUNFO,29
ANTIOQUIA,REMEDIOS,25
ANTIOQUIA,RETIRO,16
ANTIOQUIA,RIONEGRO,18
ANTIOQUIA,SABANALARGA,18
ANTIOQUIA,SABANETA,18
ANTIOQUIA,SALGAR,18
ANTIOQUIA,SAN ANDRES DE CUERQUIA,18
ANTIOQUIA,SAN CARLOS,23
ANTIOQUIA,SAN FRANCISCO,21
ANTIOQUIA,SAN JERONIMO,18
ANTIOQUIA,SAN JOSE DE LA MONTAÑA,14
ANTIOQUIA,SAN JUAN DE URABA,27
ANTIOQUIA,SAN LUIS,23
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,14
ANTIOQUIA,SAN PEDRO DE URABA,27
ANTIOQUIA,SAN RAFAEL,23
ANTIOQUIA,SAN ROQUE,21
ANTIOQUIA,SAN VICENTE,18
ANTIOQUIA,SANTA BARBARA,18
ANTIOQUIA,SANTA ROSA DE OSOS,14
ANTIOQUIA,SANTO DOMINGO,18
ANTIOQUIA,EL SANTUARIO,18
ANTIOQUIA,SEGOVIA,25
ANTIOQUIA,SONSON,14
ANTIOQUIA,SOPETRAN,18
ANTIOQUIA,TAMESIS,18
ANTIOQUIA,TARAZA,25
ANTIOQUIA,TARSO,18
ANTIOQUIA,TITIRIBI,18
ANTIOQUIA,TOLEDO,18
ANTIOQUIA,TURBO,28
ANTIOQUIA,URAMITA,18
ANTIOQUIA,URRAO,18
ANTIOQUIA,VALDIVIA,18
ANTIOQUIA,VALPARAISO,18
ANTIOQUIA,VEGACHI,23
ANTIOQUIA,VENECIA,18
ANTIOQUIA,VIGIA DEL FUERTE,27
ANTIOQUIA,YALI,21
ANTIOQUIA,YARUMAL,16
ANTIOQUIA,YOLOMBO,21
ANTIOQUIA,YONDO,29
ANTIOQUIA,ZARAGOZA,27
ATLÁNTICO,BARRANQUILLA, DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO,28
ATLÁNTICO,BARANOA,27
ATLÁNTICO,CAMPO DE LA CRUZ,27
ATLÁNTICO,CANDELARIA,27
ATLÁNTICO,GALAPA,27
ATLÁNTICO,JUAN DE ACOSTA,27
ATLÁNTICO,LURUACO,27
ATLÁNTICO,MALAMBO,27
ATLÁNTICO,MANATI,27
ATLÁNTICO,PALMAR DE VARELA,27
ATLÁNTICO,PIOJO,27
ATLÁNTICO,POLONUEVO,27
ATLÁNTICO,PONEDERA,27
ATLÁNTICO,PUERTO COLOMBIA,28
ATLÁNTICO,REPELON,29
ATLÁNTICO,SABANAGRANDE,27
ATLÁNTICO,SABANALARGA,18
ATLÁNTICO,SANTA LUCIA,27
ATLÁNTICO,SANTO TOMAS,27
ATLÁNTICO,SOLEDAD,27
ATLÁNTICO,SUAN,27
ATLÁNTICO,TUBARA,27
ATLÁNTICO,USIACURI,27
BOGOTÁ, D.C.,BOGOTA, DISTRITO CAPITAL,
BOLÍVAR,CARTAGENA DE INDIAS, DISTRITO TURISTICO Y CULTURAL,28
BOLÍVAR,ACHI,29
BOLÍVAR,ALTOS DEL ROSARIO,29
BOLÍVAR,ARENAL,29
BOLÍVAR,ARJONA,27
BOLÍVAR,ARROYOHONDO,27
BOLÍVAR,BARRANCO DE LOBA,29
BOLÍVAR,CALAMAR,29
BOLÍVAR,CANTAGALLO,29
BOLÍVAR,CICUCO,29
BOLÍVAR,CORDOBA,29
BOLÍVAR,CLEMENCIA,27
BOLÍVAR,EL CARMEN DE BOLIVAR,27
BOLÍVAR,EL GUAMO,27
BOLÍVAR,EL PEÑON,29
BOLÍVAR,HATILLO DE LOBA,29
BOLÍVAR,MAGANGUE,29
BOLÍVAR,MAHATES,27
BOLÍVAR,MARGARITA,29
BOLÍVAR,MARIA LA BAJA,27
BOLÍVAR,MONTECRISTO,29
